Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,143.44000244140625,143.64999389648438,138.16000366210938,139.50999450683594,137.18728637695312,3587000
2021-01-05,140.22999572753906,141.39999389648438,138.49000549316406,141.32000732421875,138.9671630859375,2117800
2021-01-06,138.52000427246094,140.1999969482422,136.38999938964844,136.8000030517578,134.5223846435547,2398500
2021-01-07,137.3300018310547,140.8699951171875,137.0,140.74000549316406,138.3968048095703,2936200
2021-01-08,140.86000061035156,142.0,139.92999267578125,141.86000061035156,139.49813842773438,1902700
2021-01-11,141.52000427246094,141.72000122070312,139.30999755859375,141.22000122070312,138.8688201904297,2589800
2021-01-12,141.08999633789062,141.8000030517578,137.3000030517578,139.05999755859375,136.74476623535156,2166700
2021-01-13,138.57000732421875,138.9499969482422,134.6300048828125,136.33999633789062,134.07005310058594,3696500
2021-01-14,136.8300018310547,139.3800048828125,136.1300048828125,138.94000244140625,136.6267547607422,3511800
2021-01-15,139.25999450683594,140.66000366210938,137.91000366210938,139.0,136.68576049804688,2443700
2021-01-19,139.41000366210938,143.0,138.0,141.42999267578125,139.07528686523438,2693300
2021-01-20,142.42999267578125,145.9199981689453,141.7899932861328,145.60000610351562,143.17588806152344,3288400
2021-01-21,145.61000061035156,147.27999877929688,144.74000549316406,145.97000122070312,143.5397186279297,3014000
2021-01-22,144.97999572753906,146.47999572753906,144.50999450683594,146.0,143.56922912597656,3369200
2021-01-25,148.80999755859375,150.3000030517578,145.3800048828125,146.3000030517578,143.86424255371094,3728600
2021-01-26,146.36000061035156,146.9600067138672,145.19000244140625,146.3000030517578,143.86424255371094,3660300
2021-01-27,145.8300018310547,148.92999267578125,144.5399932861328,146.22999572753906,143.79537963867188,4368100
2021-01-28,146.1999969482422,146.6300048828125,142.89999389648438,143.00999450683594,140.62896728515625,3276700
2021-01-29,141.0,144.57000732421875,140.47000122070312,143.1999969482422,140.81581115722656,3665400
2021-02-01,143.7899932861328,147.2899932861328,143.52999877929688,145.8699951171875,143.44137573242188,4123100
2021-02-02,146.14999389648438,150.3000030517578,146.14999389648438,148.97000122070312,146.4897918701172,4185700
2021-02-03,144.36000061035156,144.61000061035156,138.0399932861328,140.82000732421875,138.4754638671875,6695600
2021-02-04,140.55999755859375,142.14999389648438,137.75999450683594,138.6300048828125,136.32191467285156,3930200
2021-02-05,139.91000366210938,142.47000122070312,139.3000030517578,141.22000122070312,138.8688201904297,3899200
2021-02-08,142.0,142.49000549316406,139.33999633789062,142.4600067138672,140.08816528320312,2538400
2021-02-09,142.57000732421875,148.22999572753906,142.42999267578125,146.11000061035156,143.6773681640625,4517900
